prompt,reference
What is the nature of the contract data/contract_C-003.pdf?,"The nature of the contract is Predictive Modeling for Customer Retention, Deliver technical services including data analysis, modeling, or infrastructure setup., Provide progress updates as requested by the Client., Maintain confidentiality on sensitive information exchanged., Provide timely access to necessary data and internal stakeholders., Ensure prompt payment per the terms outlined above., All models and code developed shall remain the joint property of both parties, unless an alternate arrangement is documented., This contract may be dissolved by written notice from either party, with all completed and billable work settled promptly."
What is the start date of the contract data/contract_C-003.pdf?,The start date of the contract is 2024-02-12
What is the end date of the contract data/contract_C-003.pdf?,The end date of the contract is 2024-06-18
What is contract value of contract data/contract_C-017.pdf?,The contract value is None
Who are the parties contract data/contract_C-017.pdf?,"The parties are UrbanIQ Partners, Cortex Innovations"
What is the nature of the contract data/contract_C-017.pdf?,"The nature of the contract is Real-Time Analytics Dashboard Creation, Data Science Services Agreement"
What is the start date of the contract data/contract_C-017.pdf?,The start date of the contract is 2024-04-17
What is the end date of the contract data/contract_C-017.pdf?,The end date of the contract is 2024-12-22
What is contract value of contract data/contract_C-016.pdf?,The contract value is None
Who are the parties contract data/contract_C-016.pdf?,"The parties are Novus Data Works, Synapse Metrics"
What is the nature of the contract data/contract_C-016.pdf?,The nature of the contract is AI Model Auditing and Fairness Analysis
What is the start date of the contract data/contract_C-016.pdf?,The start date of the contract is 2024-02-04
What is the end date of the contract data/contract_C-016.pdf?,The end date of the contract is 2024-06-10
What is contract value of contract data/contract_C-002.pdf?,The contract value is None
Who are the parties contract data/contract_C-002.pdf?,"The parties are DataSense Analytics Ltd., Veridian Knowledge Systems"
What is the nature of the contract data/contract_C-002.pdf?,The nature of the contract is Data Pipeline Development and Maintenance
What is the start date of the contract data/contract_C-002.pdf?,The start date of the contract is 2024-03-14
What is the end date of the contract data/contract_C-002.pdf?,The end date of the contract is 2024-06-16
What is contract value of contract data/contract_C-014.pdf?,The contract value is None
Who are the parties contract data/contract_C-014.pdf?,"The parties are NeuralCore Labs, Cortex Innovations"
What is the nature of the contract data/contract_C-014.pdf?,"The nature of the contract is Data Pipeline Development and Maintenance, Monthly payments upon invoice, Deliver technical services including data analysis, modeling, or infrastructure setup, Provide progress updates as requested by the Client, Maintain confidentiality on sensitive information exchanged, Provide timely access to necessary data and internal stakeholders, Ensure prompt payment per the terms outlined above, All models and code developed shall remain the joint property of both parties, unless an alternate arrangement is documented, This contract may be dissolved by written notice from either party, with all completed and billable work settled promptly"
What is the start date of the contract data/contract_C-014.pdf?,The start date of the contract is 2024-06-26
What is the end date of the contract data/contract_C-014.pdf?,The end date of the contract is 2025-03-23
What is contract value of contract data/contract_C-001.pdf?,The contract value is None
Who are the parties contract data/contract_C-001.pdf?,"The parties are NeuralCore Labs, UrbanIQ Partners"
What is the nature of the contract data/contract_C-001.pdf?,The nature of the contract is AI Model Auditing and Fairness Analysis
What is the start date of the contract data/contract_C-001.pdf?,The start date of the contract is 2024-03-16
What is the end date of the contract data/contract_C-001.pdf?,The end date of the contract is 2024-12-08
What is contract value of contract data/contract_C-015.pdf?,The contract value is None
Who are the parties contract data/contract_C-015.pdf?,"The parties are DataSense Analytics Ltd., BluePeak Data"
What is the nature of the contract data/contract_C-015.pdf?,The nature of the contract is Geospatial Data Analysis for Urban Planning
What is the start date of the contract data/contract_C-015.pdf?,The start date of the contract is 2024-06-19
What is the end date of the contract data/contract_C-015.pdf?,The end date of the contract is 2025-03-16
What is contract value of contract data/contract_C-011.pdf?,The contract value is None
Who are the parties contract data/contract_C-011.pdf?,"The parties are BluePeak Data, GreenField Insights"
What is the nature of the contract data/contract_C-011.pdf?,"The nature of the contract is IoT Data Aggregation and Visualization, Deliver technical services including data analysis, modeling, or infrastructure setup, Provide progress updates as requested by the Client, Maintain confidentiality on sensitive information exchanged, Provide timely access to necessary data and internal stakeholders, Ensure prompt payment per the terms outlined above, All models and code developed shall remain the joint property of both parties, unless an alternate arrangement is documented, This contract may be dissolved by written notice from either party, with all completed and billable work settled promptly"
What is the start date of the contract data/contract_C-011.pdf?,The start date of the contract is 2024-06-01
What is the end date of the contract data/contract_C-011.pdf?,The end date of the contract is 2024-11-27
What is contract value of contract data/contract_C-005.pdf?,The contract value is None
Who are the parties contract data/contract_C-005.pdf?,"The parties are Novus Data Works, QuantForge Solutions"
What is the nature of the contract data/contract_C-005.pdf?,"The nature of the contract is Data Science Services Agreement, Geospatial Data Analysis for Urban Planning, Deliver technical services including data analysis, modeling, or infrastructure setup, Provide progress updates as requested by the Client, Maintain confidentiality on sensitive information exchanged, Provide timely access to necessary data and internal stakeholders, Ensure prompt payment per the terms outlined above, All models and code developed shall remain the joint property of both parties, unless an alternate arrangement is documented, This contract may be dissolved by written notice from either party, with all completed and billable work settled promptly"
What is the start date of the contract data/contract_C-005.pdf?,The start date of the contract is 2024-06-16
What is the end date of the contract data/contract_C-005.pdf?,The end date of the contract is 2025-03-13
What is contract value of contract data/contract_C-004.pdf?,The contract value is None
Who are the parties contract data/contract_C-004.pdf?,"The parties are DataSense Analytics Ltd., NeuralCore Labs"
What is the nature of the contract data/contract_C-004.pdf?,"The nature of the contract is Anomaly Detection in Financial Transactions, Deliver technical services including data analysis, modeling, or infrastructure setup., Provide progress updates as requested by the Client., Maintain confidentiality on sensitive information exchanged., Provide timely access to necessary data and internal stakeholders., Ensure prompt payment per the terms outlined above., All models and code developed shall remain the joint property of both parties, unless an alternate arrangement is documented., This contract may be dissolved by written notice from either party, with all completed and billable work settled promptly."
What is the start date of the contract data/contract_C-004.pdf?,The start date of the contract is 2024-05-12
What is the end date of the contract data/contract_C-004.pdf?,The end date of the contract is 2024-09-16
What is contract value of contract data/contract_C-010.pdf?,The contract value is None
Who are the parties contract data/contract_C-010.pdf?,"The parties are UrbanIQ Partners, BluePeak Data"
What is the nature of the contract data/contract_C-010.pdf?,"The nature of the contract is Data Science Services Agreement, Machine Learning Model Optimization"
What is the start date of the contract data/contract_C-010.pdf?,The start date of the contract is 2024-02-11
What is the end date of the contract data/contract_C-010.pdf?,The end date of the contract is 2024-07-22
What is contract value of contract data/contract_C-006.pdf?,The contract value is None
Who are the parties contract data/contract_C-006.pdf?,"The parties are GreenField Insights, BluePeak Data"
What is the nature of the contract data/contract_C-006.pdf?,The nature of the contract is Data Pipeline Development and Maintenance
What is the start date of the contract data/contract_C-006.pdf?,The start date of the contract is 2024-05-20
What is the end date of the contract data/contract_C-006.pdf?,The end date of the contract is 2024-12-07
What is contract value of contract data/contract_C-012.pdf?,The contract value is None
Who are the parties contract data/contract_C-012.pdf?,"The parties are Cortex Innovations, BluePeak Data"
What is the nature of the contract data/contract_C-012.pdf?,"The nature of the contract is Data Science Services Agreement, Predictive Modeling for Customer Retention, Deliver technical services including data analysis, modeling, or infrastructure setup, Provide progress updates as requested by the Client, Maintain confidentiality on sensitive information exchanged, Provide timely access to necessary data and internal stakeholders, Ensure prompt payment per the terms outlined above, All models and code developed shall remain the joint property of both parties, unless an alternate arrangement is documented, This contract may be dissolved by written notice from either party, with all completed and billable work settled promptly"
What is the start date of the contract data/contract_C-012.pdf?,The start date of the contract is 2024-04-15
What is the end date of the contract data/contract_C-012.pdf?,The end date of the contract is 2024-07-20
What is contract value of contract data/contract_C-013.pdf?,The contract value is None
Who are the parties contract data/contract_C-013.pdf?,"The parties are DataSense Analytics Ltd., UrbanIQ Partners"
What is the nature of the contract data/contract_C-013.pdf?,The nature of the contract is AI Model Auditing and Fairness Analysis
What is the start date of the contract data/contract_C-013.pdf?,The start date of the contract is 2024-01-28
What is the end date of the contract data/contract_C-013.pdf?,The end date of the contract is 2024-05-20
What is contract value of contract data/contract_C-007.pdf?,The contract value is None
Who are the parties contract data/contract_C-007.pdf?,"The parties are UrbanIQ Partners, BluePeak Data"
What is the nature of the contract data/contract_C-007.pdf?,"The nature of the contract is Data Science Services, Natural Language Processing for Client Feedback"
What is the start date of the contract data/contract_C-007.pdf?,The start date of the contract is 2024-05-21
What is the end date of the contract data/contract_C-007.pdf?,The end date of the contract is 2024-12-31
